"Li JW","Jian Hua Club"
"FERRARO","CALANDRA"
"Sugi","X-Men"
"SUBHAS GUP","Formidables"
"Muller","Net white"
"Senguler","BESIKTAS - TURKEY"
"SEMENTA","VINCI"
"FitzGibbon","Ireland"
"Zhou SH","Heng Yuan Xiang"
"Sarniak","Poland"
"INO","JAPAN"
"Kirmse A","Germany"
"Magnis","Lasserre"
"FISCHER","HUNGARY"
"Gorski","Oze Ckis"
"Altshuler","Birman"
"Mello R","Brum"
"PETERKIN","SCOTLAND"
"SK Luk","Buddies"
"LoPresti","Italy"
"East","Brachman"
"McGann","Marston"
"T. Asbi","Indonesia Open"
"FITZPATRIC","TRINIDAD&TOBAGO"
"DAHAN","MOROCCO"
"Gold","ENGLAND"
"F_Karamanl","Karamanlis"
"Lauria","ANGELINI - BOVE"
"MICHIELSEN","NL WOMEN 1"
"CAMPOS","Brazil"
"Chemla","France"
"KSHIRSAGAR","INDIA"
"Nystrom","MAHAFFEY-NPC"
"Jansma","Team 2"
"Kolata S","TUR"
"Lindvqist","O'Rourke"
"Dyke","Team 1"
"WILKINSON","SCOTLAND"
"LU","CHINA"
"Pepsi","Otvosi"
"Czirahy","OMEGA"
"Grenthe","Grenthe"
"Kikic","Serbia"
"Dov Alex","Ofek Tal"
"Magnusson","RIBITAS"
"Vozabel","PS CZ"
"Jacobs","Jacobs"
"Kranyak","Kranyak"
"DE FALCO ","VINCI"
"Venkatesh","India Venkatesh"
"C. Rimsted","Sweden"
"Saporta","Zimmermann"
"Philipsen","NETH ORANGE"
"KL Hui","Ringo's Team"
"Badrinath","Wellknit"
"Ju Hackett","England"
"Dechelette","Sebbane"
"DRAPER","ENGLAND"
"Versace","ITALY II"
"BLAKSET","SCHALTZ"
"Volcker","France U25"
"YQ LIU","CHINA"
"Smith","Lall"
"Aronov","BULGARIA"
"P. Brum","Branco"
"Kristina W","Indonesia"
"Hampson","Brachman"
"BIRMAN","Israel White"
"PETRUNIN","Russia"
"OZGUL. L","TURKEY"
"Nilsson","HENNER-WELLAND"
"Lu Ji Qun","Yalu Group"
"RUDAKOV ","SILVER EAGLE"
"Del'monte","HORWITZ"
"Drijver","Netherlands Red"
"Lu QJ","Kunshan Zhonghai"
"Figueiredo","D'Orsi"
"PAZUR","POLAND"
"Liguore","CAPITANI"
"Kono","PABF Open"
"Molenaar","Netherlands"
"Leung Cheu","Hong Kong"
"Zlotov D","Russia"
"vMiddelem","Belgium"
"VIVALDI","Italy"
"Atkinson","Auckland"
"Goncalves","Spain"
"Michalek","Gary"
"Abe","Golden Bull"
"GULEVICH","RUSSIA"
"LAURIA","ANGELINI BRIDGE TEA"
"Boyd","Ireland"
"Campos J P","Chagas"
"NURHAMIDIN","NORTH CELEBES"
"Kwiecien","BURAS"
"JACOBS","USA 1"
"ANGELINI","T.C. PARIOLI - BOVE"
"Yvonne70","CCUB"
"Fornaciari","Reggio Emilia"
"Bramley","MELTZER"
"OZGUL","TURKEY"
"Brenner","CHAGAS"
"Jiang Tong","CHINA Evertrust"
"Szilagyi","Hungary"
"Walshe","Ireland"
"Drijver","NETHERLANDS"
"Eidi","Lebanon"
"Sun SL","Shou Chuang Club"
"VERSACE","ANGELINI BRIDGE TEA"
"lin.c","Ch.Taipei"
"DUBININ A","APOLLOSOYUZ"
"Chris","X-Men"
"Vriend","Dutch ladies"
"kwiecinski","Computerland POL"
"Hugony","B.C. Mi - Russo"
"","Italy"
"Stian","Star Team"
"Chemla","HOST FRANCE"
"Lauria","Paroli Angelini"
"Michielsen","Neth. Red"
"Khonicheva","Russia"
"De Sainte Marie","FRANCE"
"MOLVA","DINOS"
"Hinge","Beauchamp"
"CHENG.Y","CH.TAIPEI"
"Kanavos","Rofoi"
"Sylvan","Apteker"
"HU Sheau-F","YEOH BROS"
"Ju CC","Ke Bi Ya"
"VINCENT","Spain"
"Lavings","Lavings"
"David H","Syabas Gabrial UI"
"Lynch","LYNCH"
"Zhang Kun","Bei Di Ke "
"Villas-Boa","BRAZIL"
"Palau","DELFOUR"
"Pomares","Romana BR"
"GOLD","England"
"Quinn","Quinn"
"MADSEN","DENMARK"
"LEE","USA"
"Prescott","OzOne"
"B.Cohen","Welland"
"NIELSEN","DENMARK"
"A. Ching","Bauhinia"
"Buras K","Poland"
